ImageFileName,Red_Channel_Distribution,Green_Channel_Distribution,Blue_Channel_Distribution,Infected_Edge_Density,Infected_MeanBlobSize,Infected_MaxBlobSize
C100P61ThinF_IMG_20150918_144104_cell_162.png,163.5904,119.1104,119.3664,0.1744,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_144104_cell_164.png,164.2032,119.9104,116.0448,0.1696,0.0,0.0
C100P61ThinF_IMG_20150918_144104_cell_165.png,137.8736,104.5488,100.8528,0.168,1.5,2.0
C100P61ThinF_IMG_20150918_144104_cell_167.png,149.536,110.4432,105.256,0.184,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_144104_cell_168.png,158.2176,113.8064,109.9968,0.1696,1.0,1.0
C100P61ThinF_IMG_20150918_144104_cell_170.png,154.4256,113.4816,111.9664,0.1472,1.0,1.0
C100P61ThinF_IMG_20150918_144348_cell_138.png,151.6144,106.608,103.6544,0.1984,1.0,1.0
C100P61ThinF_IMG_20150918_144348_cell_139.png,129.504,95.3456,92.0704,0.2128,1.6,2.0
C100P61ThinF_IMG_20150918_144348_cell_141.png,142.1984,101.8128,98.4176,0.1504,1.0,2.0
C100P61ThinF_IMG_20150918_144348_cell_142.png,150.0672,109.9872,107.216,0.144,1.0,1.0
C100P61ThinF_IMG_20150918_144823_cell_157.png,135.8784,100.5968,96.4928,0.1536,1.0,2.0
C100P61ThinF_IMG_20150918_144823_cell_158.png,111.944,82.4368,78.0848,0.1552,1.5,2.0
C100P61ThinF_IMG_20150918_144823_cell_159.png,155.9632,117.3008,113.3392,0.1536,1.0,2.0
C100P61ThinF_IMG_20150918_144823_cell_160.png,163.5024,119.6512,113.8848,0.1568,0.0,0.0
C100P61ThinF_IMG_20150918_144823_cell_161.png,134.2896,93.464,97.3904,0.1904,2.0,2.0
C100P61ThinF_IMG_20150918_144823_cell_162.png,133.624,99.4368,97.1504,0.1408,0.0,0.0
C100P61ThinF_IMG_20150918_145042_cell_163.png,137.9952,97.3792,97.4144,0.1808,0.0,0.0
C100P61ThinF_IMG_20150918_145042_cell_164.png,152.0592,110.048,107.4512,0.2048,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_163.png,121.2912,87.8976,85.904,0.1712,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_164.png,151.3072,109.9344,106.6672,0.1888,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_165.png,150.48,110.424,107.5152,0.1504,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145422_cell_167.png,155.3424,108.464,105.0896,0.1472,0.5,1.0
C100P61ThinF_IMG_20150918_145422_cell_169.png,151.2816,112.1232,110.424,0.1552,1.0,1.0
C100P61ThinF_IMG_20150918_145609_cell_144.png,102.496,69.4512,71.9424,0.1952,0.0,0.0
C100P61ThinF_IMG_20150918_145609_cell_145.png,112.9344,77.7472,78.864,0.1712,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145609_cell_146.png,151.1168,110.7936,109.376,0.1568,0.0,0.0
C100P61ThinF_IMG_20150918_145609_cell_148.png,154.1168,115.8736,112.912,0.1616,1.0,2.0
C100P61ThinF_IMG_20150918_145609_cell_149.png,151.2208,109.4288,108.4592,0.1536,1.0,2.0
C100P61ThinF_IMG_20150918_145609_cell_151.png,149.5136,105.8032,104.0432,0.1584,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_168.png,149.5744,107.0304,104.6768,0.1472,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_169.png,98.7504,70.736,69.6736,0.1616,1.6666666666666667,2.0
C100P61ThinF_IMG_20150918_145938_cell_170.png,153.568,112.4448,110.0192,0.144,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_171.png,158.624,114.4304,112.92,0.1568,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145938_cell_173.png,137.6416,102.5584,97.8976,0.176,1.5,2.0
C100P61ThinF_IMG_20150918_145938_cell_175.png,144.6304,103.3312,102.1408,0.16,0.0,0.0
C100P61ThinF_IMG_20150918_150041_cell_146.png,123.4128,89.008,85.9488,0.1536,0.0,0.0
C100P61ThinF_IMG_20150918_150041_cell_147.png,144.168,106.1248,103.0592,0.152,1.0,2.0
C100P61ThinF_IMG_20150918_150041_cell_148.png,162.4672,119.656,115.0464,0.1584,1.0,1.0
C100P61ThinF_IMG_20150918_150041_cell_149.png,159.2096,121.2464,114.776,0.144,1.5,2.0
C101P62ThinF_IMG_20150918_151006_cell_61.png,156.0736,99.6944,107.9152,0.288,1.5,2.0
C101P62ThinF_IMG_20150918_151006_cell_62.png,157.2944,107.0336,108.0736,0.1904,1.5,2.0
C101P62ThinF_IMG_20150918_151006_cell_63.png,127.4,87.2896,88.7632,0.1488,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_64.png,133.9952,87.7248,93.7552,0.224,2.0,2.0
C101P62ThinF_IMG_20150918_151006_cell_65.png,121.696,81.8864,82.6032,0.1984,1.5,2.0
C101P62ThinF_IMG_20150918_151006_cell_67.png,164.432,114.5904,114.9008,0.1728,1.5,2.0
C101P62ThinF_IMG_20150918_151006_cell_68.png,140.3664,91.648,97.264,0.2048,1.3333333333333333,2.0
C101P62ThinF_IMG_20150918_151006_cell_69.png,94.6592,61.696,64.3776,0.2096,2.0,2.0
C101P62ThinF_IMG_20150918_151006_cell_70.png,146.5744,102.0576,100.592,0.192,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_72.png,111.1936,78.8304,77.3056,0.1664,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_74.png,152.5328,100.3216,103.728,0.2144,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_75.png,135.5584,94.0608,96.0704,0.1936,1.5,2.0
C101P62ThinF_IMG_20150918_151006_cell_77.png,99.3136,69.472,68.6096,0.1728,1.0,2.0
C101P62ThinF_IMG_20150918_151006_cell_78.png,124.9296,83.6928,84.4672,0.2208,1.6,2.0
C101P62ThinF_IMG_20150918_151006_cell_79.png,144.3728,97.6416,98.1072,0.2304,1.3333333333333333,2.0
C101P62ThinF_IMG_20150918_151006_cell_81.png,131.2208,94.232,91.7952,0.1552,1.3333333333333333,2.0
C101P62ThinF_IMG_20150918_151006_cell_82.png,160.312,112.8624,112.224,0.1888,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_83.png,125.0592,89.888,89.8816,0.1696,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_86.png,125.9312,83.2368,85.4448,0.216,1.0,1.0
C101P62ThinF_IMG_20150918_151149_cell_69.png,155.4288,104.4304,107.0032,0.2272,0.0,0.0
C101P62ThinF_IMG_20150918_151149_cell_70.png,143.5248,104.688,103.5984,0.144,0.0,0.0
C101P62ThinF_IMG_20150918_151149_cell_71.png,126.8592,83.8208,90.1344,0.2256,2.0,2.0
