ImageFileName,Red_Channel_Distribution,Green_Channel_Distribution,Blue_Channel_Distribution,Uninfected_Edge_Density,Uninfected_MeanBlobSize,Uninfected_MaxBlobSize
C100P61ThinF_IMG_20150918_144104_cell_128.png,146.592,108.2592,102.9936,0.1408,1.0,1.0
C100P61ThinF_IMG_20150918_144104_cell_131.png,155.7472,115.0592,110.232,0.1328,1.0,1.0
C100P61ThinF_IMG_20150918_144104_cell_144.png,158.4128,117.5648,112.1712,0.1344,0.0,0.0
C100P61ThinF_IMG_20150918_144104_cell_21.png,158.5968,118.3712,114.6064,0.128,0.0,0.0
C100P61ThinF_IMG_20150918_144104_cell_34.png,156.4768,116.3568,113.4704,0.1376,1.0,2.0
C100P61ThinF_IMG_20150918_144104_cell_48.png,138.2448,104.0304,97.824,0.1424,0.0,0.0
C100P61ThinF_IMG_20150918_144104_cell_65.png,164.0672,125.7168,118.7056,0.128,0.0,0.0
C100P61ThinF_IMG_20150918_144348_cell_125.png,151.5248,111.9728,109.7072,0.1328,0.0,0.0
C100P61ThinF_IMG_20150918_144348_cell_131.png,159.992,114.6464,109.7888,0.1392,1.0,2.0
C100P61ThinF_IMG_20150918_144348_cell_2.png,146.9552,105.0064,104.6528,0.144,1.0,2.0
C100P61ThinF_IMG_20150918_144348_cell_25.png,160.576,121.3536,112.928,0.144,0.5,1.0
C100P61ThinF_IMG_20150918_144348_cell_40.png,145.04,105.2512,100.5936,0.1456,0.0,0.0
C100P61ThinF_IMG_20150918_144823_cell_126.png,161.1936,122.3344,116.2432,0.1456,1.0,1.0
C100P61ThinF_IMG_20150918_144823_cell_127.png,120.9936,90.0512,84.656,0.1632,1.0,2.0
C100P61ThinF_IMG_20150918_144823_cell_139.png,122.8048,92.8416,86.2336,0.1392,1.0,2.0
C100P61ThinF_IMG_20150918_144823_cell_151.png,161.9136,121.1328,112.3472,0.136,0.0,0.0
C100P61ThinF_IMG_20150918_144823_cell_21.png,123.8976,92.0576,87.1264,0.1488,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145042_cell_27.png,114.6592,87.7936,83.5296,0.144,0.0,0.0
C100P61ThinF_IMG_20150918_145042_cell_59.png,159.4192,116.1952,110.392,0.1376,0.0,0.0
C100P61ThinF_IMG_20150918_145042_cell_7.png,153.0224,113.504,108.1184,0.144,1.0,1.0
C100P61ThinF_IMG_20150918_145042_cell_81.png,112.9792,80.3536,78.5168,0.1552,1.0,2.0
C100P61ThinF_IMG_20150918_145042_cell_94.png,149.2208,110.3632,105.2528,0.1472,1.0,1.0
C100P61ThinF_IMG_20150918_145422_cell_12.png,151.6352,112.6576,106.4944,0.1408,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_136.png,122.872,91.3392,85.9248,0.1472,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_138.png,138.12,100.9776,96.3776,0.1664,1.5,2.0
C100P61ThinF_IMG_20150918_145422_cell_157.png,127.68,91.3168,87.6304,0.1472,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145422_cell_21.png,152.0432,113.1616,108.1328,0.1328,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_3.png,156.1856,116.6464,110.3792,0.1344,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_37.png,116.1712,84.2896,81.616,0.152,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145422_cell_85.png,153.3968,111.8352,105.5184,0.1392,0.0,0.0
C100P61ThinF_IMG_20150918_145422_cell_86.png,156.0816,114.1168,108.6096,0.136,1.0,2.0
C100P61ThinF_IMG_20150918_145609_cell_101.png,146.296,107.176,103.192,0.144,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145609_cell_30.png,153.5376,114.9248,112.2256,0.1344,0.5,1.0
C100P61ThinF_IMG_20150918_145609_cell_46.png,111.0864,82.0944,78.656,0.16,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145609_cell_48.png,138.3568,100.8288,97.0576,0.136,0.0,0.0
C100P61ThinF_IMG_20150918_145609_cell_75.png,126.4336,92.7216,88.272,0.1472,0.0,0.0
C100P61ThinF_IMG_20150918_145609_cell_91.png,175.3056,132.6592,125.5824,0.1264,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145609_cell_99.png,121.2816,91.6064,89.6736,0.1456,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_138.png,159.7632,116.8416,111.5888,0.1488,1.5,2.0
C100P61ThinF_IMG_20150918_145938_cell_145.png,117.8704,87.2928,83.904,0.1408,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_154.png,147.576,105.048,103.6512,0.1392,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145938_cell_63.png,152.7664,110.3184,105.4672,0.1408,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_145938_cell_64.png,125.6368,91.1728,87.9488,0.152,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_67.png,112.696,81.7952,78.7168,0.1392,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_75.png,146.0336,109.8832,105.8592,0.1344,0.0,0.0
C100P61ThinF_IMG_20150918_145938_cell_83.png,162.1104,121.4912,117.6288,0.1472,1.0,1.0
C100P61ThinF_IMG_20150918_150041_cell_108.png,132.1024,96.0192,91.928,0.152,1.3333333333333333,2.0
C100P61ThinF_IMG_20150918_150041_cell_125.png,141.3472,106.4752,99.48,0.1392,1.0,2.0
C100P61ThinF_IMG_20150918_150041_cell_127.png,145.3824,107.416,102.9536,0.1424,1.5,2.0
C100P61ThinF_IMG_20150918_150041_cell_15.png,124.4336,90.7184,85.6464,0.1584,1.0,2.0
C100P61ThinF_IMG_20150918_150041_cell_4.png,164.5408,124.0832,119.448,0.1376,1.0,2.0
C100P61ThinF_IMG_20150918_150041_cell_47.png,154.864,113.3504,107.6016,0.1424,0.0,0.0
C100P61ThinF_IMG_20150918_150041_cell_76.png,135.4736,97.4736,93.3792,0.1616,1.6666666666666667,2.0
C101P62ThinF_IMG_20150918_151006_cell_29.png,161.2384,113.6816,108.5888,0.1296,1.0,1.0
C101P62ThinF_IMG_20150918_151006_cell_32.png,143.3664,105.1008,98.608,0.1472,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_53.png,130.5072,99.0048,90.9152,0.1552,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_56.png,142.0944,98.992,96.576,0.136,0.0,0.0
C101P62ThinF_IMG_20150918_151006_cell_8.png,136.872,98.9888,92.5504,0.136,1.3333333333333333,2.0
C101P62ThinF_IMG_20150918_151149_cell_29.png,142.528,103.4096,98.7872,0.1456,0.5,1.0
C101P62ThinF_IMG_20150918_151149_cell_32.png,158.9024,117.4512,112.0784,0.1248,1.0,1.0
C101P62ThinF_IMG_20150918_151239_cell_14.png,130.704,92.9872,88.48,0.1376,1.0,2.0
C101P62ThinF_IMG_20150918_151239_cell_29.png,139.2256,104.4976,96.8848,0.1376,1.0,1.0
C101P62ThinF_IMG_20150918_151239_cell_41.png,142.0192,101.6912,95.448,0.1408,0.0,0.0
C101P62ThinF_IMG_20150918_151239_cell_51.png,149.2736,109.1904,105.2976,0.1392,1.0,2.0
C101P62ThinF_IMG_20150918_151239_cell_59.png,124.2192,91.8032,88.7024,0.1552,1.3333333333333333,2.0
C101P62ThinF_IMG_20150918_151335_cell_13.png,160.5536,116.6784,111.2144,0.144,1.0,2.0
C101P62ThinF_IMG_20150918_151335_cell_16.png,158.88,114.6592,111.9568,0.1312,1.0,1.0
C101P62ThinF_IMG_20150918_151335_cell_24.png,164.752,118.9296,113.936,0.1392,0.0,0.0
C101P62ThinF_IMG_20150918_151335_cell_38.png,150.4304,108.7168,102.232,0.1392,1.0,1.0
C101P62ThinF_IMG_20150918_151335_cell_49.png,155.024,111.256,105.1712,0.144,1.3333333333333333,2.0
C101P62ThinF_IMG_20150918_151507_cell_10.png,144.288,104.1456,101.312,0.1376,0.0,0.0
C101P62ThinF_IMG_20150918_151507_cell_32.png,140.64,101.3952,99.6624,0.1392,1.0,1.0
C101P62ThinF_IMG_20150918_151507_cell_40.png,135.3952,100.3344,95.1616,0.1552,1.5,2.0
C101P62ThinF_IMG_20150918_151507_cell_48.png,159.5296,114.6576,111.0944,0.1344,1.0,1.0
C101P62ThinF_IMG_20150918_151942_cell_18.png,139.2848,100.0096,95.176,0.144,0.0,0.0
C101P62ThinF_IMG_20150918_151942_cell_28.png,145.184,107.1856,104.896,0.1472,0.0,0.0
C101P62ThinF_IMG_20150918_151942_cell_39.png,99.976,72.4032,70.4,0.1616,0.0,0.0
C101P62ThinF_IMG_20150918_151942_cell_4.png,155.7184,114.8256,110.5168,0.1248,1.0,2.0
C101P62ThinF_IMG_20150918_151942_cell_52.png,142.1104,101.0864,97.784,0.1808,1.0,1.0
C101P62ThinF_IMG_20150918_151942_cell_53.png,148.0064,109.448,102.8032,0.1312,0.0,0.0
C101P62ThinF_IMG_20150918_151942_cell_56.png,155.8368,111.6976,106.2944,0.1184,1.3333333333333333,2.0
C101P62ThinF_IMG_20150918_151942_cell_57.png,113.3248,81.6848,79.6432,0.168,1.5,2.0
C101P62ThinF_IMG_20150918_155731_cell_12.png,163.2976,120.6864,115.6992,0.1248,1.0,1.0
C101P62ThinF_IMG_20150918_155731_cell_25.png,111.1904,83.1984,82.2256,0.1504,0.0,0.0
C101P62ThinF_IMG_20150918_155731_cell_56.png,147.5824,107.7552,104.44,0.1408,0.0,0.0
C101P62ThinF_IMG_20150918_155731_cell_57.png,145.9616,108.912,104.0432,0.1376,0.0,0.0
C101P62ThinF_IMG_20150923_170246_cell_1.png,149.84,111.7696,110.08,0.1344,1.3333333333333333,2.0
C101P62ThinF_IMG_20150923_170246_cell_14.png,151.568,110.9168,105.128,0.1328,1.0,2.0
C101P62ThinF_IMG_20150923_170246_cell_27.png,118.7712,85.6752,80.9952,0.1552,1.6666666666666667,2.0
C101P62ThinF_IMG_20150923_170246_cell_42.png,144.1552,105.3776,99.1824,0.1568,1.6,2.0
C101P62ThinF_IMG_20150923_170246_cell_44.png,132.6688,96.1728,92.4432,0.1552,0.0,0.0
C101P62ThinF_IMG_20150923_170246_cell_5.png,120.6176,89.1872,84.5792,0.1552,0.0,0.0
C101P62ThinF_IMG_20150923_170344_cell_27.png,131.9712,97.664,91.7472,0.144,1.0,1.0
C101P62ThinF_IMG_20150923_170344_cell_31.png,156.9904,117.3104,110.8848,0.1296,1.5,2.0
C101P62ThinF_IMG_20150923_170344_cell_55.png,162.112,120.7888,115.4352,0.1328,1.5,2.0
C101P62ThinF_IMG_20150923_170344_cell_66.png,145.8464,110.7408,102.8016,0.1424,1.0,1.0
C101P62ThinF_IMG_20150923_170344_cell_69.png,156.432,117.2528,110.024,0.1392,0.0,0.0
C101P62ThinF_IMG_20150923_170344_cell_70.png,157.7792,115.5536,108.9968,0.1376,1.0,1.0
C102P63ThinF_IMG_20150918_161508_cell_113.png,155.1856,92.1872,118.0016,0.232,1.6666666666666667,2.0
C102P63ThinF_IMG_20150918_161508_cell_133.png,146.7424,100.456,116.9344,0.2352,2.0,2.0
C102P63ThinF_IMG_20150918_161508_cell_14.png,141.8912,93.408,113.7952,0.136,2.0,2.0
C102P63ThinF_IMG_20150918_161508_cell_143.png,140.8784,88.0608,108.3088,0.1632,2.0,2.0
C102P63ThinF_IMG_20150918_161508_cell_150.png,126.9616,81.8576,99.8096,0.152,1.4285714285714286,2.0
C102P63ThinF_IMG_20150918_161508_cell_172.png,132.8976,89.192,106.5152,0.136,2.0,2.0
C102P63ThinF_IMG_20150918_161826_cell_154.png,152.224,107.7008,130.4512,0.1408,1.4285714285714286,2.0
C102P63ThinF_IMG_20150918_161826_cell_63.png,140.0592,96.9104,116.08,0.216,1.0,2.0
C102P63ThinF_IMG_20150918_161826_cell_65.png,145.1216,93.76,116.5728,0.2208,1.5,2.0
C102P63ThinF_IMG_20150918_162051_cell_1.png,153.0,103.9856,123.8416,0.1488,2.0,2.0
C102P63ThinF_IMG_20150918_162051_cell_100.png,111.6416,68.9568,93.7664,0.1392,2.0,2.0
C102P63ThinF_IMG_20150918_162051_cell_130.png,117.704,74.6432,95.3488,0.1536,1.6,2.0
C102P63ThinF_IMG_20150918_162051_cell_19.png,145.9888,90.1664,116.704,0.1488,2.0,2.0
