,ImageFileName,Red_Channel_Distribution,Green_Channel_Distribution,Blue_Channel_Distribution,Infected_Edge_Density,Infected_MeanBlobSize,Infected_MaxBlobSize,target,CNN_predictions
0,C100P61ThinF_IMG_20150918_144104_cell_162.png,163.5904,119.1104,119.3664,0.1744,1.3333333333333333,2.0,1,0.9999943
1,C100P61ThinF_IMG_20150918_144104_cell_164.png,164.2032,119.9104,116.0448,0.1696,0.0,0.0,1,0.9946312
2,C100P61ThinF_IMG_20150918_144104_cell_165.png,137.8736,104.5488,100.8528,0.168,1.5,2.0,1,0.99999785
3,C100P61ThinF_IMG_20150918_144104_cell_167.png,149.536,110.4432,105.256,0.184,1.3333333333333333,2.0,1,0.99961317
4,C100P61ThinF_IMG_20150918_144104_cell_168.png,158.2176,113.8064,109.9968,0.1696,1.0,1.0,1,0.9772815
5,C100P61ThinF_IMG_20150918_144104_cell_170.png,154.4256,113.4816,111.9664,0.1472,1.0,1.0,1,0.9997031
6,C100P61ThinF_IMG_20150918_144348_cell_138.png,151.6144,106.608,103.6544,0.1984,1.0,1.0,1,1.0
7,C100P61ThinF_IMG_20150918_144348_cell_139.png,129.504,95.3456,92.0704,0.2128,1.6,2.0,1,1.0
8,C100P61ThinF_IMG_20150918_144348_cell_141.png,142.1984,101.8128,98.4176,0.1504,1.0,2.0,1,0.99998885
9,C100P61ThinF_IMG_20150918_144348_cell_142.png,150.0672,109.9872,107.216,0.144,1.0,1.0,1,0.9770062
10,C100P61ThinF_IMG_20150918_144823_cell_157.png,135.8784,100.5968,96.4928,0.1536,1.0,2.0,1,0.9998827
11,C100P61ThinF_IMG_20150918_144823_cell_158.png,111.944,82.4368,78.0848,0.1552,1.5,2.0,1,0.99784225
12,C100P61ThinF_IMG_20150918_144823_cell_159.png,155.9632,117.3008,113.3392,0.1536,1.0,2.0,1,0.9998565
13,C100P61ThinF_IMG_20150918_144823_cell_160.png,163.5024,119.6512,113.8848,0.1568,0.0,0.0,1,0.9964985
14,C100P61ThinF_IMG_20150918_144823_cell_161.png,134.2896,93.464,97.3904,0.1904,2.0,2.0,1,1.0
15,C100P61ThinF_IMG_20150918_144823_cell_162.png,133.624,99.4368,97.1504,0.1408,0.0,0.0,1,0.79011035
16,C100P61ThinF_IMG_20150918_145042_cell_163.png,137.9952,97.3792,97.4144,0.1808,0.0,0.0,1,0.9993391
17,C100P61ThinF_IMG_20150918_145042_cell_164.png,152.0592,110.048,107.4512,0.2048,0.0,0.0,1,0.9969333
18,C100P61ThinF_IMG_20150918_145422_cell_163.png,121.2912,87.8976,85.904,0.1712,0.0,0.0,1,0.9999999
19,C100P61ThinF_IMG_20150918_145422_cell_164.png,151.3072,109.9344,106.6672,0.1888,0.0,0.0,1,0.9999922
20,C100P61ThinF_IMG_20150918_145422_cell_165.png,150.48,110.424,107.5152,0.1504,1.3333333333333333,2.0,1,0.99999845
21,C100P61ThinF_IMG_20150918_145422_cell_167.png,155.3424,108.464,105.0896,0.1472,0.5,1.0,1,0.9999957
22,C100P61ThinF_IMG_20150918_145422_cell_169.png,151.2816,112.1232,110.424,0.1552,1.0,1.0,1,0.9999969
23,C100P61ThinF_IMG_20150918_145609_cell_144.png,102.496,69.4512,71.9424,0.1952,0.0,0.0,1,0.92122304
24,C100P61ThinF_IMG_20150918_145609_cell_145.png,112.9344,77.7472,78.864,0.1712,1.3333333333333333,2.0,1,0.9986505
25,C100P61ThinF_IMG_20150918_145609_cell_146.png,151.1168,110.7936,109.376,0.1568,0.0,0.0,1,0.9999756
26,C100P61ThinF_IMG_20150918_145609_cell_148.png,154.1168,115.8736,112.912,0.1616,1.0,2.0,1,0.9999998
27,C100P61ThinF_IMG_20150918_145609_cell_149.png,151.2208,109.4288,108.4592,0.1536,1.0,2.0,1,0.994533
28,C100P61ThinF_IMG_20150918_145609_cell_151.png,149.5136,105.8032,104.0432,0.1584,0.0,0.0,1,0.96813506
29,C100P61ThinF_IMG_20150918_145938_cell_168.png,149.5744,107.0304,104.6768,0.1472,0.0,0.0,1,0.99582064
